date_,close_goog,high_goog,low_goog,open_goog,volume_goog,symbol
2026-01-26,333.1546630859375,335.9110710528279,327.06261745942396,327.7717128570099,18502500,GOOG
2026-01-27,334.56280517578125,337.77360575319784,333.3144364997522,335.19198786494,16080900,GOOG
2026-01-28,335.8411560058594,337.18940036194795,331.69657781901543,336.17071194822404,17538500,GOOG
2026-01-29,338.2180480957031,341.84331577646435,326.29362750773345,339.9058450626567,24548300,GOOG
2026-01-30,338.0882263183594,339.8459393190057,332.2059284569407,334.02353024324157,21740200,GOOG
2026-02-02,344.44989013671875,344.71455893391885,335.5715076740309,336.1107810155394,22775200,GOOG
2026-02-03,340.2554016113281,349.6930511556747,338.14813929481124,348.0602055415327,25786500,GOOG
2026-02-04,332.90496826171875,343.800733734723,328.94014812343124,343.3063846149433,36991100,GOOG
2026-02-05,330.8975830078125,332.2098940118301,306.5194661993319,312.79126924034074,51842000,GOOG
2026-02-06,322.6783752441406,330.2085444197576,319.732212669293,326.9228291868256,33877000,GOOG
2026-02-09,323.9766540527344,327.3122917175226,317.28541579501643,320.82077417447744,26103300,GOOG
2026-02-10,318.2142028808594,321.21028797646636,314.2493823852293,320.49122633441056,25281900,GOOG
2026-02-11,310.9236755371094,320.6260234898432,309.7252599216724,318.5437226409867,24008100,GOOG
2026-02-12,308.96624755859375,316.06698440393103,307.74783851722964,311.94236944068,28194000,GOOG
2026-02-13,305.6206359863281,308.48691626632296,303.5034074415816,307.5830680236357,20236000,GOOG
2026-02-17,302.4248046875,304.49211049817023,296.51251731768605,300.24765706433305,23750800,GOOG
2026-02-18,303.5433654785156,305.51079587835017,301.58593178171805,302.0373377837931,15847700,GOOG
2026-02-19,303.163818359375,305.63059595669705,300.27760597580755,302.1251671400422,13448600,GOOG
2026-02-20,314.4890441894531,316.3466327070812,304.0227402687717,304.4022187611668,33663100,GOOG
2026-02-23,311.2832336425781,319.0380841366731,309.5854400242665,318.7235232646917,17641200,GOOG
2026-02-24,310.5142517089844,311.962341120562,305.69053796389596,310.23461833809165,15040700,GOOG
2026-02-25,312.6214904785156,313.25067319659894,308.95626646698753,311.71267438325657,20209100,GOOG
2026-02-26,306.7491760253906,312.59154811608227,302.01537127964497,312.39679526824995,22380000,GOOG
2026-02-27,311.0235595703125,311.6727051893538,303.1948006205073,303.54334418120766,33389200,GOOG
2026-03-02,305.9601745605469,307.7378808552178,300.6671034421218,302.5696161295488,21854400,GOOG
2026-03-03,303.163818359375,303.54332729400136,296.31178027781107,298.03054247338764,20361100,GOOG
2026-03-04,303.05401611328125,305.06137237929244,300.40744992717754,302.28999979339955,20015600,GOOG
2026-03-05,300.5173034667969,302.97408452968756,297.68101344342887,302.80432345436964,22643900,GOOG
2026-03-06,297.91070556640625,299.9380551922433,294.864698015099,295.6856162816382,17598000,GOOG
2026-03-09,305.8259582519531,306.3156537788302,293.7532067591801,293.95810054029374,19632700,GOOG
2026-03-10,306.7453918457031,308.9640578626859,305.12637106289316,305.6910336876566,14386400,GOOG
2026-03-11,308.2344970703125,310.8818905063814,305.6560318751311,306.11574664278464,13376700,GOOG
2026-03-12,303.0276184082031,308.4543755816348,300.6590487824004,306.02581398501115,15610200,GOOG
2026-03-13,301.2786865234375,307.075216570357,299.59970423366394,306.4705694514694,16857500,GOOG
2026-03-16,304.2369079589844,305.3862101461126,301.62846198721604,303.41739386063404,14822000,GOOG
2026-03-17,309.2239074707031,309.86350667991195,304.1669532729026,304.4867681271186,14423600,GOOG
2026-03-18,306.1157531738281,310.56308876859424,305.36123291378533,307.7197987713232,13848400,GOOG
2026-03-19,305.5461120605469,306.495522328792,300.8189462117848,303.0276083402022,15399700,GOOG
2026-03-20,298.61029052734375,304.1869208156099,296.5715090190732,303.8871134611093,34763500,GOOG
2026-03-23,298.84014892578125,303.18753879791194,297.8507541028747,300.3492505237287,22204100,GOOG
2026-03-24,289.02606201171875,296.9213041605432,288.6812683049409,296.03182484480067,27411200,GOOG
2026-03-25,289.4158020019531,294.48275961254154,287.1971361576211,291.97425966938914,22343000,GOOG
2026-03-26,280.5711364746094,286.34268744484854,278.8821505013807,286.01787071952646,29281200,GOOG
2026-03-27,273.5953369140625,278.92211737858287,273.3155065603785,277.2331315119547,25703300,GOOG
2026-03-30,272.9757385253906,276.0938571665062,271.37169284977546,275.2743430238678,22752300,GOOG
2026-03-31,286.68743896484375,286.8773271197116,276.59353851793674,277.37306812768094,31625100,GOOG
2026-04-01,294.7226257324219,297.80576171350253,289.2958989360971,289.8056019553753,24403600,GOOG
2026-04-02,294.2828674316406,295.7220036805807,287.3970277745505,288.8161565344196,13433400,GOOG
2026-04-06,297.48095703125,298.2454810135183,293.6132897699338,294.52274605218776,10121700,GOOG
2026-04-07,303.7471923828125,303.9171035550764,295.2473028799287,299.9594938576911,17317700,GOOG
2026-04-08,314.5506896972656,319.1979173516329,312.5169099892079,317.63882755519,20887500,GOOG
2026-04-09,316.1797180175781,317.23907805281584,309.2838740431667,313.00163791186503,14606800,GOOG
2026-04-10,315.53009033203125,319.3078153785124,314.3508074416827,318.03358841229215,11997600,GOOG
2026-04-13,319.01800537109375,319.2378742739686,313.50133630699344,315.23030679320124,12212800,GOOG
2026-04-14,330.38116455078125,330.4411565240312,320.95684339258287,321.87130162031684,18557500,GOOG
2026-04-15,334.2688293457031,334.79850934948115,328.462326295132,330.3611774124935,15104100,GOOG
2026-04-16,332.56982421875,337.1770671128283,331.4505027908985,335.64798864456304,13949600,GOOG
2026-04-17,339.19586181640625,339.7805014284534,333.0895513147008,334.22884980226,19683800,GOOG
2026-04-20,335.1982727050781,338.9560210703948,334.4287467895101,338.3563758313641,12897300,GOOG
2026-04-21,330.271240234375,336.9672227230362,329.43174911178386,335.3831540609058,14623800,GOOG
2026-04-22,337.5268859863281,337.8266933540505,332.7597353449777,334.6835958687374,12954200,GOOG
2026-04-23,337.5468444824219,339.9553985352305,334.8584600686641,339.3707589505945,13442100,GOOG
2026-04-24,342.1141052246094,343.48327630328015,333.84906002833503,337.516865979281,18260900,GOOG
2026-04-27,348.31036376953125,350.688937144481,340.6050096635064,343.6731704622599,17443000,GOOG
2026-04-28,347.2909851074219,349.6895354514848,344.0729206585439,346.7113473864688,18502300,GOOG
2026-04-29,347.1011047363281,353.1874381893852,342.22403497775565,345.27221882647495,22232200,GOOG
2026-04-30,381.71026611328125,382.3998535192728,362.87159825964693,371.0316955643996,44570500,GOOG
2026-05-01,382.989501953125,383.15941312113796,375.0342982758103,377.7526634694606,28047900,GOOG
2026-05-04,379.41168212890625,383.94892960999147,376.5433826561863,382.0900629369803,18275000,GOOG
2026-05-05,384.0388488769531,388.72603026067463,380.1212238542502,381.6402985876544,15432500,GOOG
2026-05-06,394.90234375,396.14158814851396,386.86717115178936,389.3556636937157,23097300,GOOG
2026-05-07,395.0622253417969,397.11601249324696,390.0752364541107,396.8211765082595,15153600,GOOG
2026-05-08,396.8111877441406,398.13040116879216,393.43324621625237,394.032860955436,13762500,GOOG
2026-05-11,386.537353515625,394.09280386567815,385.99770027578,390.4550091226855,16314900,GOOG
2026-05-12,383.5891418457031,386.2075610512266,379.49160187176113,384.7684247628253,17103900,GOOG
2026-05-13,398.79998779296875,399.6894366024174,381.3504679441929,381.67528465785847,18160100,GOOG
2026-05-14,396.9311218261719,398.8639490394177,392.4917770286838,393.55314996386056,13805400,GOOG
2026-05-15,393.08343505859375,395.6418928419125,389.5255787505654,392.97848723377916,15801900,GOOG
2026-05-18,392.87353515625,404.2267181336527,390.66487298033206,391.8891422596936,18592800,GOOG
2026-05-19,384.6684875488281,393.1264099838384,382.7696364443794,393.063429089017,25559400,GOOG
2026-05-20,384.6684875488281,390.46501731409904,379.7714408586532,384.8084179824556,16488100,GOOG
2026-05-21,383.2393493652344,388.4462070831433,379.25175905431604,381.7802360746463,16837600,GOOG
2026-05-22,379.1518249511719,384.6385132044718,378.0325034604433,383.0294961863553,13382800,GOOG
2026-05-26,384.6085205078125,385.15820799010294,378.911967276954,380.76583200111435,16150900,GOOG
2026-05-27,384.5985107421875,389.49058591164453,381.7702264112071,382.5347809021544,16893100,GOOG
2026-05-28,385.88775634765625,389.76542753221133,381.0206903760399,383.6291059052824,20795400,GOOG
2026-05-29,376.2035827636719,381.4204443301482,374.07485900677307,380.9957121529665,48018600,GOOG
2026-06-01,372.35589599609375,374.37470057389226,369.4876270555196,372.35092462272263,19091900,GOOG
2026-06-02,358.1744384765625,369.56757513109494,354.78646296524,362.94155828091095,34648600,GOOG
2026-06-03,355.466064453125,362.28196979782444,354.16685855422884,358.1194663498822,43031000,GOOG
2026-06-04,369.0478820800781,369.63752354949486,354.58658421381983,355.226213908984,37746200,GOOG
2026-06-05,365.5400085449219,368.97794185707363,361.41248782137086,363.16143521275876,23411500,GOOG
2026-06-08,361.1700134277344,363.3800048828125,357.8900146484375,362.4849853515625,18739000,GOOG
2026-06-09,362.2900085449219,369.6919860839844,354.7200012207031,364.885009765625,19873600,GOOG
2026-06-10,353.32000732421875,366.30999755859375,352.80999755859375,361.04998779296875,19878600,GOOG
2026-06-11,356.55999755859375,358.010009765625,343.6300048828125,353.04998779296875,28771800,GOOG
2026-06-12,358.1600036621094,364.77301025390625,353.3399963378906,361.1000061035156,17637100,GOOG
2026-06-15,367.1099853515625,370.6499938964844,364.6499938964844,365.989990234375,17268600,GOOG
2026-06-16,371.1000061035156,373.6000061035156,365.32000732421875,367.4649963378906,16492800,GOOG
2026-06-17,362.1000061035156,370.1499938964844,360.2300109863281,367.04998779296875,16003500,GOOG
2026-06-18,367.4599914550781,369.0,356.6080017089844,363.8900146484375,29339100,GOOG
2026-06-22,348.7799987792969,358.20001220703125,340.94000244140625,357.135009765625,32211200,GOOG
2026-06-23,346.0799865722656,348.7200012207031,339.7149963378906,340.1050109863281,21820900,GOOG
2026-06-24,345.0400085449219,352.8299865722656,341.5,348.7200012207031,23898400,GOOG
2026-06-25,342.19000244140625,343.19000244140625,335.8999938964844,336.9200134277344,27687600,GOOG
2026-06-26,334.69000244140625,344.1199951171875,333.69000244140625,340.9800109863281,82484600,GOOG
2026-06-29,351.2799987792969,351.9700012207031,338.80999755859375,339.95001220703125,25565700,GOOG
2026-06-30,353.3299865722656,355.3900146484375,348.1099853515625,350.9599914550781,21278400,GOOG
2026-07-01,357.8900146484375,359.55999755859375,353.2300109863281,354.614990234375,19546800,GOOG
2026-07-02,356.17999267578125,360.989990234375,350.32000732421875,356.1499938964844,15532900,GOOG
2026-07-06,364.8999938964844,365.67999267578125,354.19000244140625,358.19500732421875,22652700,GOOG
2026-07-07,363.6199951171875,370.8900146484375,362.4200134277344,367.2349853515625,16443900,GOOG
2026-07-08,358.7099914550781,364.9800109863281,354.70001220703125,362.2099914550781,14710400,GOOG
2026-07-09,356.239990234375,356.7300109863281,348.6600036621094,351.0849914550781,17217400,GOOG
2026-07-10,355.0299987792969,355.67999267578125,350.70001220703125,354.9540100097656,11618500,GOOG
2026-07-13,350.6700134277344,355.75,349.82000732421875,353.989990234375,10583500,GOOG
2026-07-14,357.3299865722656,357.8800048828125,348.8399963378906,348.8399963378906,11252600,GOOG
2026-07-15,370.2099914550781,372.1400146484375,355.6700134277344,356.010009765625,20258200,GOOG
2026-07-16,353.80999755859375,374.3500061035156,351.6700134277344,372.1700134277344,23603700,GOOG
2026-07-17,346.1199951171875,348.1700134277344,341.125,345.7699890136719,22023900,GOOG
2026-07-20,351.3699951171875,359.489990234375,350.0050048828125,350.1700134277344,13203300,GOOG
2026-07-21,346.19000244140625,350.739990234375,346.010009765625,350.55999755859375,17419500,GOOG
2026-07-22,341.9100036621094,349.45001220703125,341.6400146484375,347.17999267578125,23273800,GOOG
2026-07-23,318.3399963378906,324.45001220703125,314.8900146484375,321.6300048828125,46751900,GOOG
2026-07-24,,,,,21608070,GOOG
