date_,close_nvda,high_nvda,low_nvda,open_nvda,volume_nvda,symbol
2026-01-26,186.2428436279297,188.88960930416175,185.76343263076708,186.93200550896393,124799600,NVDA
2026-01-27,188.29034423828125,189.76853699604698,185.47377232125424,187.01190478720812,143711600,NVDA
2026-01-28,191.2866973876953,192.1156881225865,189.60873601436586,191.03700193406064,148552700,NVDA
2026-01-29,192.27548217773438,193.244301759811,185.83334250366076,191.10690928022157,171764400,NVDA
2026-01-30,190.8971710205078,194.25307849059112,189.23918956869622,190.97707539362895,179489500,NVDA
2026-02-02,185.38389587402344,190.0681850900544,184.6547894061738,186.97195532434574,165794100,NVDA
2026-02-03,180.12030029296875,186.04308409913696,176.01530661894333,186.01312186532803,204019600,NVDA
2026-02-04,173.97779846191406,179.36123157735668,171.70057725198066,179.24138264216026,207014100,NVDA
2026-02-05,171.6706085205078,176.604592702014,170.82163795446576,174.71688060291817,206312900,NVDA
2026-02-06,185.1841278076172,186.77218713146127,174.3872995354016,176.47474973392875,231346200,NVDA
2026-02-09,189.80848693847656,193.42408742490235,183.7259094221984,184.03552934237337,196387400,NVDA
2026-02-10,188.31031799316406,192.24552080983682,187.89083145679504,191.1468699498802,136764800,NVDA
2026-02-11,189.8184814453125,193.0245624433192,188.54004197866425,192.2155516352278,144192700,NVDA
2026-02-12,186.7122802734375,193.3741533411549,186.28279615580217,192.79485804306626,189932500,NVDA
2026-02-13,182.58731079101562,187.27160018883805,181.36879569323744,187.25162028422807,161888000,NVDA
2026-02-17,184.7446746826172,186.92201173748992,178.9617194034806,181.5285959992061,162276900,NVDA
2026-02-18,187.75099182128906,190.13807962880853,186.53247684939709,188.52005804720127,164749100,NVDA
2026-02-19,187.6710968017578,188.20044994409497,185.43383529156333,186.8321237354349,126554500,NVDA
2026-02-20,189.58877563476562,190.09814888521723,185.71349722992974,186.342734664171,178422300,NVDA
2026-02-23,191.31666564941406,193.71373598373438,189.3490641935772,191.16683922839312,171584800,NVDA
2026-02-24,192.61508178710938,193.53395924081437,187.171708627792,191.2567378902843,175123600,NVDA
2026-02-25,195.32176208496094,197.38924768090467,193.5539140704845,194.2131137016724,250637100,NVDA
2026-02-26,184.66476440429688,194.0533071271398,184.09546670933034,194.03334246429932,360807900,NVDA
2026-02-27,176.97415161132812,182.36756729714082,176.1651407824763,181.0292033274304,311636500,NVDA
2026-03-02,182.25770568847656,183.2365228635074,174.42725972943845,174.79680413295333,209095300,NVDA
