date_,close_msft,high_msft,low_msft,open_msft,volume_msft,symbol
2026-01-26,468.1949768066406,472.14737672642065,459.9516880286902,463.2470104625561,29291200,MSFT
2026-01-27,478.4493408203125,480.72919663912324,471.06225431764057,471.59986874099184,29213900,MSFT
2026-01-28,479.4946594238281,481.59528998521284,475.8807484603396,481.0676409982362,36875400,MSFT
2026-01-29,431.57806396484375,440.5381621786467,419.1533835040837,438.0392806211351,128855300,MSFT
2026-01-30,428.3822937011719,437.65101486434605,424.55932220203715,437.2229285851671,58566800,MSFT
2026-02-02,421.49298095703125,428.8303011436502,420.37795134689077,428.33251789753194,42219900,MSFT
2026-02-03,409.3868713378906,420.178808008447,406.7486263222299,420.1390072256922,61424100,MSFT
2026-02-04,412.35369873046875,417.93881231579195,407.4256323109538,409.17783910585314,45012400,MSFT
2026-02-05,391.9246520996094,406.4897635323938,390.5806313349955,405.6335909812077,66289200,MSFT
2026-02-06,399.3615417480469,400.0086538663787,391.17798428483076,397.4002746193236,53515300,MSFT
2026-02-09,411.76629638671875,413.05058563481117,399.0927243377603,403.0550898097971,45480500,MSFT
2026-02-10,411.437744140625,421.80159473973595,410.8702943432265,417.75959730190846,44857900,MSFT
2026-02-11,402.5771789550781,414.61357304478975,399.2320904458023,414.33481566901673,42491000,MSFT
2026-02-12,400.05841064453125,404.3990960787573,396.24540458526855,403.20440420967,40802400,MSFT
2026-02-13,399.5407409667969,403.7420326637702,396.2852191820681,402.65686886295305,34091600,MSFT
2026-02-17,395.1004943847656,398.7442713079252,392.78083787972264,397.45004705087115,32078800,MSFT
2026-02-18,397.8283386230469,400.77520665339193,394.56288205367116,396.3648548030424,23223400,MSFT
2026-02-19,397.5988464355469,403.55594539020564,395.8127368785549,399.82403795970674,28234000,MSFT
2026-02-20,396.37152099609375,399.2552593187824,394.3059873534157,395.2539159508346,34015200,MSFT
2026-02-23,383.6390686035156,394.50551684604494,382.27203437696886,394.14630950985264,43238300,MSFT
2026-02-24,388.1593017578125,388.5185091169527,380.88504821898124,383.30981969967445,33884700,MSFT
2026-02-25,399.7342224121094,400.60233728073825,389.31678308531696,389.68597856263057,43625500,MSFT
2026-02-26,400.851806640625,406.6093255926281,397.8782360341113,403.8353349281015,34405900,MSFT
2026-02-27,391.8912048339844,395.9624042352165,389.0374004516944,390.03523926255787,51367200,MSFT
2026-03-02,397.6886291503906,400.32293811697235,389.78576315389057,392.01092411942045,35474900,MSFT
2026-03-03,403.0570068359375,405.82103971635513,391.82136299902305,392.2903484387299,38199200,MSFT
